Batch_Size,Learning_Rate,Dropout_Rate,Num_Filters
38,0.000127,0.1652,195
377,0.000059,0.2280,79
394,0.013655,0.0194,86
456,0.017422,0.3548,198
81,0.000405,0.1825,255
222,0.073448,0.2261,101
9,0.000008,0.4165,38
363,0.004374,0.4620,124
121,0.000285,0.3382,164
188,0.000002,0.4452,210
8,0.009941,0.5000,8
512,0.100000,0.0000,8
409,0.100000,0.0559,256
126,0.100000,0.0223,8
512,0.100000,0.0000,132
355,0.097893,0.0745,106
488,0.015469,0.1159,144
200,0.050048,0.3107,124
308,0.009125,0.3436,96
266,0.059010,0.1988,256
